Date,Price,Open,High,Low,Change
1/1/2009,48.75,48.68,48.84,48.44,0.0027
1/2/2009,48.12,48.51,49.13,48.12,-0.0129
1/3/2009,48.12,48.51,49.13,48.12,-0.0129
1/4/2009,48.12,48.51,49.13,48.12,-0.0129
1/5/2009,48.41,48.07,48.74,47.91,0.006
1/6/2009,48.44,48.26,48.78,48.01,0.0006
1/7/2009,48.735,48.335,48.935,48.145,0.0061
1/8/2009,48.52,48.63,48.78,48.21,-0.0044
1/9/2009,48.07,48.36,49.31,47.99,-0.0093
1/10/2009,48.07,48.36,49.31,47.99,-0.0093
1/11/2009,48.07,48.36,49.31,47.99,-0.0093
1/12/2009,48.62,48.01,48.87,47.96,0.0114
1/13/2009,48.925,48.475,49.145,48.375,0.0063
1/14/2009,48.64,48.76,48.99,48.38,-0.0058
1/15/2009,48.895,48.535,49.235,48.385,0.0052
1/16/2009,48.645,48.655,49.005,48.505,-0.0051
1/17/2009,48.645,48.655,49.005,48.505,-0.0051
1/18/2009,48.645,48.655,49.005,48.505,-0.0051
1/19/2009,48.525,48.475,48.82,48.275,-0.0025
1/20/2009,49.05,48.46,49.28,48.22,0.0108
1/21/2009,49.05,48.93,49.37,48.69,0
1/22/2009,49.01,48.86,49.21,48.63,-0.0008
1/23/2009,49.075,48.875,49.325,48.715,0.0013
1/24/2009,49.075,48.875,49.325,48.715,0.0013
1/25/2009,49.075,48.875,49.325,48.715,0.0013
1/26/2009,48.525,48.825,48.825,48.525,-0.0112
1/27/2009,48.7,48.46,49.06,48.44,0.0036
1/28/2009,48.67,48.59,48.935,48.51,-0.0006
1/29/2009,48.77,48.53,49.06,48.39,0.0021
1/30/2009,48.85,48.63,49.15,48.48,0.0016
1/31/2009,48.85,48.63,49.15,48.48,0.0016
2/1/2009,48.85,48.63,49.15,48.48,0.0016
2/2/2009,48.68,48.66,49.13,48.45,-0.0035
2/3/2009,48.51,48.53,48.885,48.37,-0.0035
2/4/2009,48.715,48.435,48.865,48.215,0.0042
2/5/2009,48.65,48.51,48.91,48.31,-0.0013
2/6/2009,48.63,48.64,48.875,48.32,-0.0004
2/7/2009,48.63,48.64,48.875,48.32,-0.0004
2/8/2009,48.63,48.64,48.875,48.32,-0.0004
2/9/2009,48.545,48.425,48.665,48.295,-0.0017
2/10/2009,48.8,48.62,48.8,48.19,0.0053
2/11/2009,48.82,48.79,48.97,48.51,0.0004
2/12/2009,48.735,48.815,48.915,48.335,-0.0017
2/13/2009,48.595,48.905,48.965,48.355,-0.0029
2/14/2009,48.595,48.905,48.965,48.355,-0.0029
2/15/2009,48.595,48.905,48.965,48.355,-0.0029
2/16/2009,48.82,48.43,48.87,48.43,0.0046
2/17/2009,49.63,48.6,49.75,48.6,0.0166
2/18/2009,50.01,49.43,50.095,49.43,0.0077
2/19/2009,49.38,49.99,50.04,49.38,-0.0126
2/20/2009,49.545,49.755,50.015,49.425,0.0033
2/21/2009,49.545,49.755,50.015,49.425,0.0033
2/22/2009,49.545,49.755,50.015,49.425,0.0033
2/23/2009,49.295,49.475,49.825,49.225,-0.005
2/24/2009,49.72,49.71,50.01,49.44,0.0086
2/25/2009,49.875,49.765,50.035,49.675,0.0031
2/26/2009,50.345,49.935,50.505,49.775,0.0094
2/27/2009,51.005,50.455,51.195,50.455,0.0131
2/28/2009,51.005,50.455,51.195,50.455,0.0131
3/1/2009,51.005,50.455,51.195,50.455,0.0131
3/2/2009,51.825,50.845,51.975,50.725,0.0161
3/3/2009,51.97,51.78,52.14,51.56,0.0028
3/4/2009,51.54,51.91,52.04,51.44,-0.0083
3/5/2009,51.605,51.465,52.105,51.225,0.0013
3/6/2009,51.69,51.58,51.865,51.42,0.0016
3/7/2009,51.69,51.58,51.865,51.42,0.0016
3/8/2009,51.69,51.58,51.865,51.42,0.0016
3/9/2009,51.815,51.635,52.015,51.505,0.0024
3/10/2009,51.36,51.71,51.76,51.36,-0.0088
3/11/2009,50.99,51.31,51.31,50.99,-0.0072
3/12/2009,51.5,50.96,51.93,50.85,0.01
3/13/2009,51.55,51.46,51.78,51.15,0.001
3/14/2009,51.55,51.46,51.78,51.15,0.001
3/15/2009,51.55,51.46,51.78,51.15,0.001
3/16/2009,51.14,51.31,51.7,51.14,-0.008
3/17/2009,51.26,51.13,51.535,51.01,0.0023
3/18/2009,51.13,51.22,51.49,51.07,-0.0025
3/19/2009,50.26,50.95,51.11,50.11,-0.017
3/20/2009,50.52,50.11,50.81,50.03,0.0052
3/21/2009,50.52,50.11,50.81,50.03,0.0052
3/22/2009,50.52,50.11,50.81,50.03,0.0052
3/23/2009,50.31,50.46,50.67,50.29,-0.0042
3/24/2009,50.425,50.295,50.755,50.105,0.0023
3/25/2009,50.53,50.31,51.11,50.14,0.0021
3/26/2009,50.42,50.41,50.76,50.3,-0.0022
3/27/2009,50.525,50.295,50.645,50.075,0.0021
3/28/2009,50.525,50.295,50.645,50.075,0.0021
3/29/2009,50.525,50.295,50.645,50.075,0.0021
3/30/2009,51.13,50.31,51.33,50.19,0.012
